Unnamed: 0,Name,Type,Address,Phone,Email,Fax,Web,Contact,Styles/Specialties,Services,Genres,Clients,Additional locations,How to Submit,Notes
242,NEW MUSIC WEEKLY,Networking/Social/Gig,"137 N. Larchmont Ave., Ste. 500  Los Angeles, CA 90004",['310-325-9997'],staff@newmusicweekly.com ,,newmusicweekly.com ,"Paul Loggins, Larry Weir, Chuck Dauphin, John Loggins, Jon Hudson, Masika Swain, Debi Fee  ","all styles *National music magazine specializing in radio  airplay charts, artist spotlights/interviews and  entertainment based editorials ",,,,,,
243,NVE RECORDS,Networking/Social/Gig,"Universal Music Group Distribution  Murrieta, CA",['951-444-8683'],info@nverecords.com ,,nverecords.com ,"Gary Devon Dostson, CEO",,,,,,,
244,THE ORIEL COMPANY,Networking/Social/Gig,"9 East 19th Street  6th Floor  New York, NY 10003  Email : carleen@thorie.co",,,,theoriel.co,,,,,,,,
245,PACIFIC MARKETING LLC,Networking/Social/Gig,"2355 State Street, Suite 101  Salem, OR 97301",['503-880-5516'],luc@pacmarlic.com ,,pacmarllc.com,,,,,,,,
246,PIERCE CREATIVE SERVICES,Networking/Social/Gig,"433 G Street  Suite 302  San Diego, CA 92101",['619-356-0164'],hello@piercesd.com ,,piercesd.com,,,,,,,,
247,"PINNACLE MANAGEMENT, MARKETING &  PROMOTIONS, LLC  ",Networking/Social/Gig,"1129 Maricopa Hwy. Ste. #238  Ojai, CA 93023",['805-201-6300'],pinnaclemanagement212@gmail.com,,,,"CHR/Top 40, AC, Hot AC, AAA,  Alternative Specialty, Mainstream Rock, Modern  AC, Country, College for artists of all label sizes  including Independent. ",,,,,,
248,"PEOPLES REVOLUTION, INC.",Networking/Social/Gig,"62 Grand St., 3rd Fl.  New York, NY 10013",['212-274-0400'],nycinfo@peoplesrevolution.com ,,peoplesrevolution.com ,,"Fashion and lifestyle PR, marketing and events. This includes fashion show  planning and production ",,,,,,
249,PFA MEDIA,Networking/Social/Gig,"Entertainment Media & Marketing  214 W. 29th St., Ste. 702  New York, NY 10001",['212-334-6116'],info@pfamedia.net,,pfamedia.net   ,,,,,,   Nashville  615-840-8127  ,,
250,"PLA MEDIA, INC.",Networking/Social/Gig,"1303 16th Ave. S.  Nashville, TN 37212",['615-327-0100'],info@plamedia.com ,,plamedia.com,,,,,,,,
251,"PPL ENTERTAINMENT GROUP, INC",Networking/Social/Gig,"PO BOX 261488  Encino, CA 91426",['310-962-3873'],pplzmi@aol.com *No unsolicited material accepted ,,,,,,,,,,
252,PYRAMID COMMUNICATIONS,Networking/Social/Gig,"1932 1st Ave., Ste. 507  Seattle, WA 98101",['206-374-7788'],,,pyramidcommunications.com,,,,,,,,
253,RANDOLPHE ENTERTAINMENT GROUP,Networking/Social/Gig,"67 S. Bedford St., Ste. 400W  Burlington, MA 01803",['877-202-1940'],"contact@randolphe.com, christian@ randolphe.com  ",,randolphe.com *unsolicited material accepted ,,,,,,,,
254,RIOT ACT MEDIA,Networking/Social/Gig,"Brooklyn, NY  Portland, OR",['206-890-9906'],nathan@riotactmedia.com  ,,riotactmedia.com,,,,,,,,
255,ROCKSTAR PROMOTIONS,Networking/Social/Gig,"1926 Hollywood Blvd., #202  Hollywood, FL 33020",['954-767-8385'],service@rockstarpromos.com ,,rockstarpromos.com ,Aaron Schimmel ,"CD/DVD replication, merchandise production (T-shirts, stickers, posters,  postcards, merch items) and graphic design. ",,,,,,
256,RUDER FINN CREATIVE,Networking/Social/Gig,"425 E 53rd St.  New York, NY 10022",['212-593-6400'],taylor.johnson@ruderfinn.com ,,ruderfinn.com ,Taylor Johnson,,,,,,,
257,SHINE ON PROMO,Networking/Social/Gig,,,info@shineonpromo.com ,,shineonpromo.com ,,Radio Promotion for College/ Specialty / NONCOMM formats.  ,,,"OSEES, Bully, Washed Out, Wolf Parade & of Montreal. ",,,
258,SO MUCH MOORE MEDIA,Networking/Social/Gig,,['615-202-1313'],martha@somuchmoore.com  ,,"somuchmoore.com, facebook.com/  somuchMOOREmedia ",Martha Moore  ,,,,"Daryl Mosley (Bluegrass), American Blond (Country Rock and Sister Duo), Alex Miller  (American Idol Alum, traditional country), Taylor Rae  (Americana Blue/Jazz/Folk-Country) ",,,
259,SONICBIDS CORPORATION,Networking/Social/Gig,"P.O. Box 1407  White Plains, NY 10602",['617-502-1300'],support@sonicbids.com ,,sonicbids.com ,,electronic press kits (EPKs) for all styles of music ,,,,,,
260,SPAWNAK,Networking/Social/Gig,"Spawn Ideas, Inc.  510 L St., Ste. 100  Anchorage, AK  99501",['907-274-9553'],info@spawnideas.com ,,spawnak.com,,,,,,,,
261,SPEAKEASY PR,Networking/Social/Gig,"Los Angeles, CA",['818-363-1315'],Monica@Speakeasypr.com ,,speakeasypr.com ,Monica Seide,,,,,,,
262,SPINLAB COMMUNICATIONS,Networking/Social/Gig,"12198 Ventura Blvd., Ste. 210  Studio City, CA 91604",['818-763-9800'],info@spinlab.net ,,spinlab.net ,,"branding campaigns, corporate communications, crisis communications, event  planning and execution, public relations, publicity ",,,,,,
263,SPINS TRACKING SYSTEM,Networking/Social/Gig,"A Backstage Entertainment Co.  5018 Franklin Pike  Nashville, TN 38220",['310-325-9997'],staff@spinstrackingsystem.com ,,spinstrackingsystem.com ,,"Country, AC, hot AC, top 40, hip-hop, rap, AAA, Christian, college, loud rock,  jazz, smooth ",,,,,,
264,STUDIOEXPRESSO,Networking/Social/Gig,Artists Gateway to production Services,,claris@studioexpresso.com 818-427-1675  ,,,,"jazz, RPM, record pools, world, Americana",,,,,,
265,SUNSHINE SACHS & ASSOCIATES,Networking/Social/Gig,"136 Madison Ave., 17th Fl.  New York, NY 10016",['212-691-2800'],info@sunshinesachs.com ,,sunshinesachs.com ,Jeff Okeefe   ,,,,," 720 Cole Ave  Los Angeles, CA 90038  323-822-9300    201 W. 5th Street  11thFloor  Austin, TX 78701  512-646-0149    1875 Connecticut Ave. N.W., 10th Fl.  Washington, D.D. 20009  202-280-2398  101 Marietta Street, NW  Suite 3000  Atlanta, GA 30303  404-334-3545 ",,
266,THIRSTY EAR,Networking/Social/Gig,"225 Crossroads Blvd., Ste. 336  Carmel, CA 93923",['203-838-0099'],info@thirstyear.com ,,thirstyear.com,,,,,,,,
267,"THOMAS PUBLIC RELATIONS, INC.",Networking/Social/Gig,"1 Hewitt Sq. Ste 186  East Northport, NY 11731  Melville, NY 11747",['631-549-7575'],info@thomaspr.com ,,thomas-pr.com ,Karen Thomas,,,,,,,
268,TIM SWEENEY & ASSOCIATES,Networking/Social/Gig,"31805 Temecula Pkwy, #551  Temecula, CA 92592",['951-303-9506'],sweeney@timsweeney.com ,,timsweeney.com ,,all styles,,,,,,
269,"TIWARY ENTERTAINMENT GROUP, LTD",Networking/Social/Gig,"1 Irving Pl., Ste. P8C  New York, NY 10003",,info@tiwaryent.com ,212-477-5259 ,tiwaryent.com,,,,,,,,
270,TOTAL ASSAULT,Networking/Social/Gig,"17547 Ventura Blvd. Ste 204  Encino, CA 91316",['310-280-3777'],danny@corpta.com ,,totalassault.com   ,,,,,," 6107 Centennial Blvd.  Nashville, TN 37209  615-810-8630 ",,
271,TSC MARKETING,Networking/Social/Gig,"1030 18th Ave. S.  P.O. Box 120683  Nashville, TN 37212",['615-327-3277'],lee@tscmarketing.com ,,tscmarketing.com,,,,,,,,
272,TSUNAMI GROUP INC.,Networking/Social/Gig,,,inquiry@tsunamigroupinc.com ,,tsunamigroupinc.com ,,"Entertainment, music, producers, fashion, sports and products  ",,,"Lil Wayne, Justin Timberlake, Eva Longoria, Paris Hilton, etc. ",,,
273,UNLEASHED MUSIC MEDIA  MUSIC MARKETING  ,Networking/Social/Gig,Los Angeles,,,,unleashedmusic.com,,,,,,,,
274,VITRIOL INDEPENDENT PROMOTION,Networking/Social/Gig,"3421 5th Ave. S.  Minneapolis, MN 55408",['612-871-4916'],jesse@vitriolpromotion.com ,,vitriolradio.com,,,,,,,,
275,WE ARE TMA,Networking/Social/Gig,"1285 Sixth Ave.  5  New York, NY",['917-305-5600'],,,wearetma.agency   ,,,,,,"   1999 Bryan St.  32  Dallas, TX. 75201  214-259-3200    225 N. Michigan Ave.  20  Chicago, IL 60601  312-552-5700    5353 Grosvenor Blvd.  Los Angeles, CA 90066  310-754-4300 ",,
276,WE LOVE MUSIC PROMOTIONS,Networking/Social/Gig,,,clare@welovemusicpromtions.com ,,welovemusicpromotions.com ,,"A unique online PR approach for unsigned bands to promote their single/EP/  Album.  All online promotion areas covered; Blogs,  radio, student, All styles and genres covered. ",,,,,,
277,WICKED PR,Networking/Social/Gig,"46 11th St.  Hermosa Beach, CA 90254",['404-316-7482'],,,wicked.is,,,,,,,,
278,1888 MEDIA,Publicist,"Los Angeles, CA",['310-228-8715'],info@1888media.com,,1888media.com  ,,"Americana, Rock, Roots, Jamband, Jazz, Folk, Alternative, Pop  Roster: Coral Moons, The Haunt, Kevin Daniel,  Gordon Goodwin, Teni Rane, Joanna Pearl, Sam  Robbins, Afton Wolfe, The Burnt Pines ",,,,,,
279,ABC PUBLIC RELATIONS,Publicist,"Los Angeles, CA",['818-990-6876'],amanda@abc-pr.com ,,"abc-pr.com, facebook.com/abcpublicrelations ",Amanda Cagan,,,,,,,
280,ALBRIGHT ENTERTAINMENT GROUP,Publicist,"3070 Windward Plaza, Ste. F-770  Alpharetta, GA 30005",,rockstarpr@aol.com ,,rockstarpr.com ,Jeff Albright,,,,,,,
281,ALEX TEITZ MEDIA,Publicist,"1550 Larimer St., Ste. 511  Denver, CO 80202",['720-341-8567'],alexteitzmedia@yahoo.com ,,alexteitzmedia.com,,,,,,,,
282,ANNE LEIGHTON MEDIA,Publicist,"P.O. Box 670922  Bronx, NY 10467",['718-881-8183'],anne@anneleighton.com ,,anneleighton.com,,,,,,,,
283,ARISTOMEDIA,Publicist,"1620 16th Ave. S.  Nashville, TN 37212",['615-269-7071'],info@aristomedia.com ,,facebook.com/aristomedia,,,,,,,,
284,ARTISANS PR,Publicist,"2242 Guthrie Cir.  Los Angeles,CA 90034",['310-837-6008'],contact@artisanspr.com ,,artisanspr.com,,,,,,,,
285,BB GUN PRESS,Publicist,"West Hollywood, CA 90069",['323-904-9094'],,,"bbgunpress.com, facebook.com/ BBGUNPRESS  ",Bobbie Gale,,,,,,,
286,BEACHWOOD ENTERTAINMENT  COLLECTIVE  ,Publicist,,['323-871-0180'],jean@beachwood.la ,,"beachwood.la, facebook.com/ BeachwoodEntertainmentCollective  ",,,,,,,,
287,BEAUTIFUL DAY MEDIA & MANAGEMENT,Publicist,"128 Coffey St., 1R  Brooklyn, NY 11231",['718-522-5858'],elizabeth@beautifuldaymedia.com ,,BeautifulDayMedia.com ,Elizabeth Freund,,,,,,,
288,BIG HASSLE MEDIA,Publicist,"157 Chambers St, New York, NY 10007",['212-619-1360'],weinstein@bighassle.com ,,bighassle.com   ,,,,,," 3685 Motor Ave., Ste. 240  Los Angeles, CA 90034  424-603-4655 ",,
289,BIG PICTURE MEDIA,Publicist,"85 Delancey St., Ste 47  New York, NY  10002",['212-675-3103'],paul@bigpicturemediaonline.com  ,,bigpicturemediaonline.com ,Dayna Ghiraldi-Travers,,,,,,,
290,BIZ 3 PUBLICITY,Publicist,"Chicago, IL 60622",,info@biz3.net ,,biz3.net,,,,,,,,
291,BLACK & WHITE PR,Publicist,"The Lot  1041 N. Formosa Ave., Ste. 214  West Hollywood, CA 90046",,sara@phases2pr.com ,,blackandwhitepr.net,,,,,,,,
292,"BOBBI MARCUS PUBLIC  RELATIONS & EVENTS, INC.  ",Publicist,"Los Angeles, CA",['310-889-9200'],"admin@bobbimarcuspr.com, bobbi@ bobbimarcuspr.com  ",,,Bobbi Marcus,,,,,,,
293,BRADLEY PUBLIC RELATIONS &  MARKETING  ,Publicist,"318 W Katella  Ave. B  Orange, CA",['949-274-9651'],bob@bradleypublicity.com ,,bradleypublicity.com,,,,,,,,
294,"BROKAW COMPANY, THE",Publicist,"4135 Bakman Ave.  North Hollywood, CA 91602",['818-766-5967'],db@brokawcompany.com ,,brokawcompany.com,,,,,,,,
295,"BROOKS COMPANY, THE",Publicist,"225 West 35th Street  15th Floor  New York, NY 10001",['212-768-0860'],Rebecca@brookspr.com ,,brookspr.com,,,,,,,,
296,BSG PR,Publicist,"20501 Ventura Blvd., Ste. 145  Woodland Hills, CA 91364",['818-340-4422'],brian@bsgpr.com ,,bsgpr.com,,,,,,,,
297,BT PR,Publicist,"New York, NY",['646-405-7010'],info@btpr.biz ,,bennytarantini.com,,,,,,,,
298,BURSON COHN & WOLFE,Publicist,"3 World Trade Center  175 Greenwich Street  New York, NY 10007",['212-601-3000'],jillian.janaczek@bcw-global.com ,,bcw-global.com   ,,,,,,"   California, District of Columbia, Florida, Georgia,  Illinois, Massachusetts, Pennsylvania, Tennessee,  Texas  Europe, Latin American, Africa ",,
299,CAMPBELL ENTERTAINMENT GROUP,Publicist,"P.O Box 682614  Franklin, TN 37067",['615-210-3602'],info@campbellentertainmentgroup.com ,,campbellentertainmentgroup.com,,,,,,,,
300,CAPITAL ENTERTAINMENT,Publicist,"Washington, DC 20002",['202-506-5051'],billcarpenter@capitalentertainment.com ,,capitalentertainment.com,,,,,,,,
301,CHARM SCHOOL PR,Publicist,,['323-363-9338'],hello@charmschoolcie.com ,,charmschoolcie.com ,Angelique Groh ,,,,"Cory Helford Gallery, Alife, Lettuce",,,
302,CHIPSTER PR,Publicist,"2820 Audubon Village Dr.  Norristown, PA 19403",['484-932-8951'],info@chipsterpr.com ,,chipsterpr.com,,,,,,,,
303,CHROME PR,Publicist,"9107 Wilshire Blvd. Ste. 450  Beverly Hills, CA 90210",['310-272-7100'],,,," Lee Runchey, VP ",,,,,,,
304,CHROMATIC PUBLICITY,Publicist,"P.O. Box 250-863  Brooklyn, NY 11225",,hector@chromaticpr.com,,chromaticpublicity.com  ,"Amanda Pitts, Hector Silva",,,,,,,
305,CLARION CALL,Publicist,"Los Angeles, New York, Nashville",['718-249-3738'],croline@clarioncallmedia.com,,clarioncallmedia.com/about ,Caroline Borolla ,,,,,,,
306,COSTA COMMUNICATIONS,Publicist,"8265 Sunset Blvd., Ste. 201  Los Angeles, CA 90046",['323-650-3588'],info@costacomm.com ,,costacomm.com,,,,,,,,
307,COYNE PR,Publicist,"5 Wood Hollow Rd.  Parsippany, NJ 07054",['973-588-2000'],"newbusiness@coynepr.com, ",,coynepr.com   ,,,,,,"   501 7th Avenue  New York, NY 10018  212-938-0166 ",,
308,CPR (CAROLYN PUBLIC RELATIONS),Publicist,"P.O. Box 55  Radio City Station  New York, NY 10101-0055",['212-721-3341'],info@carolynmcclairpr.com ,,carolynmcclairpr.com,,,,,,,,
309,CYPER PR,Publicist,"389 12 St.  Brooklyn, NY 11215",['212-239-8384'],Ariel@cyberpr.com,,,,,,,,,,
310,DANGER VILLAGE,Publicist,"Los Angeles, CA",['830-476-5664'],therearenostupidquestions@dangervillage.com  ,,dangervillage.com,,,,,,,,
311,DAVIDSON & CHOY PUBLICITY,Publicist,"4311 Wilshire Blvd., Ste. 402  Los Angeles, CA 90010",['323-954-7510'],"t.choy@dcpublicity.com, j.davidson@dcpublicity.com  ",,dcpublicity.com,"Judi Davidson, Tim Choy ",,,,,,,
312,D. BARON MEDIA RELATIONS INC.,Publicist,"1411 Cloverfield Blvd.  Santa Monica, CA 90404  310- 315-5444",,info@dbaronmedia.com ,,dbaronmedia.com,,,,,,,,
313,DEGY PR,Publicist,"Toms River, NJ",['732-818-9600'],info@degy.com ,,degy.com ,Ari Nisman,,,,,,,
314,DE WAAL & ASSOCIATES,Publicist,"14622 Ventura Blvd, Suite 567  Sherman Oaks, CA 91403","['818-817-4444', '818-817-4587']",info@DeWaalPR.com ,,dewaalpr.com ,Lori De Waal,,,,,,,
315,DL MEDIA MUSIC,Publicist,"124 N. Highland Ave.  Bala Cynwyd, PA 19004",['610-420-8470'],info@desmoinesmc.com ,,desmoinesmc.com,"Don Lucoff, President   DMMC (Greater Des Moines Music Coalition)  900 Keosauqua Way, Ste 117  Des Moines, IA 50309  515-676-0005  ",,,,,,,
316,DOLPHIN ENTERTAINMENT,Publicist,"600 3rd Ave., 23rd Fl.  New York, NY 10016",['212-277-7555'],,,dolphinentertainment.com ,,,,,," 1840 Century Park East, Ste. 200  Los Angeles, CA 90067  310-477-4442    150 Alhambra Circle  Suite 1200  Coral Gables, FL   33134  305-774-0407 ",,
317,DOMINION3 PUBLIC RELATIONS,Publicist,"1420 Camden Ave., Ste. #5  Los Angeles, CA 90025",['310-478-3393'],kim@dominion3.com ,,dominion3.com ,Kim Dixon,,,,,,,
318,DOUG DEUTSCH PUBLICITY SERVICES,Publicist,"Los Angeles, CA",['213-924-4901'],dougdeutschpr1956@gmail.com ,,"facebook.com/dougdeutschpublicity, twitter.com/publiciteeguy  ",Doug Deutsch ,Full-Service Artist Publicity and Promotion; Tour Publicity; Festivals/Special Events  Publicity; New Record Release Campaigns  ,,,"Ruf Records, The Blues Foundation, Allman Betts Family Reunion, Melody Trucks, Tab Benoit,  Jon Geiger Band, The Delta Wires, New Blues  Festival, Woodystock Blues & Brews Festival,  Blues From The Top, Sugar Lime Blue, Eliza Neals,  Billy Walton Band ",,,
319,DRPR,Publicist,,['302-266-1273'],Info@drprstrategies.com ,,drprstrategies.com ,,,,,,,,
320,DUNN DEAL PR,Publicist,"Los Angeles, CA",['310-666-5336'],james@dunndealpr.com ,,dunndealpr.com,,,,,,,,
321,EARSHOT MEDIA,Publicist,"2629 Manhattan Ave., PMB 301  Hermosa Beach, CA 90254-2447",,mike@earshotmedia.com ,,earshotmedia.com ,Mike Cubillos,,,,,,,
322,EARSPLIT PR,Publicist,"P.O. Box 142  Congers, NY 10920",,liz@earsplitcompound.com ,,earsplitcompound.com ,Liz Ciavarella-Brenner,,,,,,,
323,EASTWEST MEDIA,Publicist,"Palm Beach, FL","['310-650-8668', '561-465-2240']",sheryl@eastwestmedia.net ,,eastwestmedia.net,,,,,,,,
324,EBONY JEANETTE PR,Publicist,,['310-256-6749'],info@ebonyjeanette.com ,,ebonyjeanette.com ,Ebony Jeanette,,,,,,,
325,EFFECTIVE IMMEDIATELY INC.,Publicist,"325 Broadway, Ste. 303  New York, NY 10007",['212-777-6727'],info@ei-pr.com ,,big-village.com ,Samantha Alamo ,,"album, single campaigns, tour press, radio promotion, artist development, coaching, social  media marketing  ",,," Big Village is a subsidiary of Bright Mountain  Media headquartered in Boca Raton, FL and has  remote workers in many cities including New York,  Boston, Chicago, Cincinnati, London, Los Angeles,  Minneapolis, and Princeton.  8209 Melrose Ave, 2nd Fl  Los Angeles, CA 90046  310-437-8199  ENGINE GROUP  (now part of BIG VILLAGE)  ",,accepts artist submission   
326,EVOLUTIONARY MEDIA GROUP,Publicist,"3920 Fountain Ave.  Los Angeles, CA 90029",['323-658-8700'],info@emgpr.com ,,emgpr.com,,,,,,,,
327,FALCON PUBLICITY,Publicist,"Los Angeles, CA",,agreenberg@falconpublicity.com,,,,,,,,,,
328,FANATIC PROMOTION & CO.,Publicist,"332 Bleecker St., #G7  New York, NY 10014",['917-744-1772'],josh@fanaticpromotion.com ,,fanaticpromotion.com,,,,,,,,
329,FLY PR,Publicist,"2658 Griffith Park Blvd., Ste. 816  Los Angeles, CA 90039",['323-667-1344'],flypr@flypr.net ,,flypr.net ,Ilka Erren Pardinas,,,,,,,
330,FREEMAN PROMOTIONS,Publicist,"27 Garrison Dr  Tinton Falls, NJ 07753",['336-509-8377'],freeman@freemanpromotions.com ,,freemanpromotions.com ,Jon Freeman,,,,,,,
331,GAIL ROBERTS P.R. & INTERNET MARKETING,Publicist,"10061 Riverside Dr., Ste. 1400  Burbank, CA 91602",['310-734-8193'],gailrobertspr@gmail.com ,,facebook.com/GailRobertsPR ,Gail Roberts ,"Longstanding music PR firm with marketing and online promotion, internet  publicity, social networking. Firm also handles  marketing and media for painters, authors,  corporations and ecological projects. ",,,,,,
332,"GIRLIE ACTION MEDIA & MARKETING, INC.",Publicist,"243 W. 30th St., 12th Fl.  New York, NY 10001",['212-989-2222'],carter@girlieaction.com ,,girlieaction.com,,,,,,,,
333,"GLOBAL SOUND GROUP, LTD.",Publicist,London.UK  +44 (0),['207 118 3444'],info@globalsoundgroup.com  ,,globalsoundgroup.com,,,,,,,,
334,GORGEOUS MEDIA GROUP,Publicist,"7551 Melrose Ave., Ste. 5  Los Angeles, CA 90046",['323-782-9000'],info@gorgeousmediagroup.com ,,gorgeousmediagroup.com *Accepts demos submissions ,,,,,,,,
335,GREAT SCOTT P.R. PRODUCTIONS,Publicist,"4750 Lincoln Blvd., #229  Marina del Rey, CA 90292",['310-306-0375'],greatscottproductions@earthlink.net ,,greatscottpr.com,,,,,,,,
336,GREEN GALACTIC,Publicist,,['213-840-1201'],lynn@greengalactic.com ,,greengalactic.com,,,,,,,,
337,HANDS ON PR & MARKETING,Publicist,,['310-341-3201'],handsonpr@aol.com ,,expertiseinmedia.com/index.html ,Craig Melone ,all styles/indie labels are our forte ,,,,,,
338,HARD PRESSED PUBLICITY,Publicist,"2401 Manor Road, #234  Austin, TX 78722",['512-554-2799'],jorae@hardpressedpublicity.com ,,hardpressedpublicity.com,,,,,,,,
339,HARRISON & SHRIFTMAN,Publicist,"8523 Sunset Blvd.  West Hollywood, CA 90069",['310-855-1600'],newbiz@hs-pr.com ,,hs-pr.com ,,,,,,"   New York, NY  1285 Ave of the Americas  3rd Floor  917-351-8600 ",,
340,HEIDI ELLEN ROBINSON-FITZGERALD HERFITZ PR ,Publicist,,['818-705-1267'],herfitz@mac.com ,,herfitzpr.net ,Heidi Ellen Robinson-Fitzgerald ,,,,"Anthrax, Ghost, Greta Van Fleet, Pixies, Rick Rubin, Slayer, Dallon Weekes/IDKHOW ",,,
341,HELIO PUBLIC RELATIONS,Publicist,,['310-645-4246'],info@heliopr.com ,,heliopr.com,,,,,,,,
342,HELLO WENDY,Publicist,"Los Angeles, CA",['818-762-7063'],wendy@hellowendy.com ,,hellowendy.com ,Wendy Brynford-Jones,,,,,,,
343,HIGHRISE PR,Publicist,,,info@highrisepr.com  ,,highrisepr.com,,,,,,,,
344,HODGES & ASSOCIATES,Publicist,"The Dr. Pepper Bldg., Ste. 300  2829 Second Ave. S.  Birmingham, AL 35233",['205-328-4357'],hodges@thehighroad.com ,,thehighroad.com,,,,,,,,
345,HOT SCHATZ PR,Publicist,"701 Harpeth Trace Dr.  Nashville, TN 37221",['615-782-0078'],schatz@hotschatzpr.com ,,hotschatzpr.com ,"Schatzi Hageman, Owner and Press Agent",,,,,,,
346,HOWARD ROSEN PROMOTION,Publicist,"1129 Maricopa Hwy., Ste. #238  Ojai, CA 93023",['805-382-2200'],howie@howiewood.com ,,howiewood.com ,Howard Rosen ,"CHR/Top 40, AC, Hot AC, AAA, Alternative Specialty,  Mainstream Rock, Modern AC, Country & College  for artists of all label sizes. Social Media, Video  Production ",,,,,,
347,HOWLIN WUELF MEDIA,Publicist,,"['215-428-9119', '917-523-8881']",howlingwuelf@aol.com ,,howlinwuelf.com ,"Howard Wuefling, Jocelyn Loebl",,,,,,,
348,ILENE PROCTOR INTERNATIONAL PUBLIC,Publicist,"RELATIONS  9427 Charleville Blvd.  Beverly Hills, CA 90212","['310-858-6643', '310-721-2336']",ilenepr@gmail.com ilenepr@sbcglobal.net  ,,douglasdrenkow.com/IP/index.html *accepts online submission ,,,,,,,,
349,INDEPENDENT MUSIC MEDIA,Publicist,,['213-864-2690'],Indiemusicmediadana@gmail.com ,,,,,"Covering national and regional print, on- line, blogs and tour press ",,,,,
350,ITS ALIVE! MEDIA,Publicist,"11333 Moorpark St. #451  Studio City, CA 91602",['323-464-6314'],josh@itsalivemedia.com ,,itsalivemedia.com,,,,,,,,
351,JACKIE O. & CO. INC.,Publicist,"Atlanta, GA  New York, NY",['404-829-4430'],jackieoandco@gmail.com ,,"jackieo.co, facebook.com/jackieoandco",,,,,,,,
352,JAG ENTERTAINMENT,Publicist,"4605 Lankershim Blvd, Suite 807  North Hollywood, CA 91602",['818-905-5511'],jgeffen@jagpr.com ,,jagpr.com ,"Jo-Ann Geffen, President",,,,,,,
353,JAZZMYNE PUBLIC RELATIONS,Publicist,,['323-380-8819'],jazzmynepr@gmail.com ,,jazzmynepr.com ,Makeda Smith,,,,,,,
354,"JENSEN COMMUNICATIONS, INC.",Publicist,"Pasadena, CA 91105",['626-585-9575'],info@jensencom.com ,,jensencom.com,,,,,,,,
355,JAZZ PROMO SERVICES,Publicist,"272 State Route 94, S. #1  Warwick, NY 10990","['845-986-1677', '845-986-1699', '917-755-8960']",jim@jazzpromoservices.com ,,jazzpromoservices.com ,,,"Specializing in Media Campaigns for the music community, artists, labels, venues and events ",,,,,
356,JJ ENTERTAINMENT,Publicist,,['323-653-5438'],joddith@aol.com ,,"JodiJacksonsHollywood.tv @jodijacksonshollywood, facebook.com/  jodijacksonshollywood  ",Jodi Jackson,,,,,,,
357,JONES & OMALLEY PUBLIC RELATIONS,Publicist,"10123 Camarillo St.  Toluca Lake, CA 91602",['818-762-8353'],,,Jonesomalley.com,,,,,,,,
358,KALEIDOSCOPE MEDIA,Publicist,"5611 Ohio Ave. Suite B  Nashville, TN 37209",['615-321-3211'],info@kaleidoscope-media.com ,,kaleidoscope-media.com ,,,,,"Tim McGraw, Barbara Mandrell, The Loveless Caf ",,,
359,"KAYOS PRODUCTIONS, INC.",Publicist,"25 E. 21st St., 9th Fl.  New York, NY 10010",['212-366-9970'],carol@kayosproductions.com ,,kayosproductions.com,,,,,,,,
360,KELLEEMACK PR,Publicist,"Los Angeles, CA",['818-430-8926'],Kelly@kelleemackpr.com ,,kelleemackpr.com ,,,,,,,,
361,KEN PHILLIPS PUBLICITY GROUP,Publicist,"6767 Forest Lawn Dr., Ste. 211  Los Angeles, CA 90068",['323-308-5912'],KPPublicityGroup@gmail.com ,,kenphillipsgroup.com,,,,,,,,
362,KIRVIN DOAK COMMUNICATIONS,Publicist,"5230 W. Patrick Ln.  Las Vegas, NV 89118",['702-737-3100'],info@kirvindoak.com ,,kirvindoak.com,,,,,,,,
363,THE KRAKOWER GROUP,Publicist,"11500 Olympic Blvd., Ste. 400  Los Angeles, CA 90064",['310-294-3600'],office@krakowergroup.com ,,facebook.com/KrakowerGroup ,Beth Krakower,,,,,,,
364,KSA PUBLICITY,Publicist,"234 W. 44 St., Ste. 1004  New York, NY 10036",['212-764-7900'],info@ksa-pr.com ,,ksa-pr.com,,,,,,,,
365,THE LAVIDGE COMPANY,Publicist,"2777 E. Camelback Rd., #300  Phoenix, AZ 85016","['480-998-2600', '480-998-5525']",info@lavidge.com ,,lavidge.com,,,,,,,,
366,THE LEDE COMPANY,Publicist,"9777 Wilshire Blvd  Suite 805  Beverly Hills, CA 90212",['424-253-3251'],info@ledecompany.com ,,ledecompany.com   ,,,,,," 646-351-0442  632 Broadway  3rd Floor  New York, NY, 10012 ",,
367,LEWIS COMMUNICATIONS,Publicist,"530 B Street D 19th Floor  San Diego, CA92101",,hellosandiego@teamlewis.com  ,,teamlewis.com/the-agency 619-308-5200    ,,,,,," New York, Boston, San Francisco,  Washington, D.C. ",,
368,"LIPPIN GROUP, THE",Publicist,"11601 Wilshire Blvd., Ste. 1900  Los Angeles, CA 90025",['323-965-1990'],london@lippingroup.com,,lippingroup.com   ,,,,,," 390 Lexington Ave  #22  New York, NY 10017  212-986-7080  ",,
369,LOBELINE COMMUNICATIONS,Publicist,"6464 Sunset Blvd. Suite 650  Los Angeles, CA 90028","['310-271-1551', '310-271-4822']",,,lobeline.com ,Christopher Kingry   ,,,,," 535 Mission St. 14  San Francisco, CA 94105    55 Pineapple St.  Suite 7F  Brooklyn Heights, NY 11201 ",,
