Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location,Notes
230,DERRYBERRY RECORDING STUDIO,"7380 Devinney Ct.  Arvada, CO 80005",['303-456-8216'],info@derryberrysrecordingstudio.com,facebook.com/derryberrys,call for rates ,Pro Tools HD,"Mark Derryberry, producer/engineer",,,,
231,ROCKY MOUNTAIN RECORDERS,"1250 W. Cedar Ave.  Denver, CO 80223",['303-777-3648'],frontdesk@rockyrecorders.com,rockyrecorders.com,please call for info ,,Rachel Converse,,,,
232,STEALTHTRAXX.ONLINE,"Greater Roaring Fork Valley, CO",,info@stealthtraxx.online970.319.0252 ,StealthTraxx.online,Please Call for Quote,,Ralph Pitt,"Remote Recording, Absentee Mixing (sendin your raw tracks), Remote Audio for Video, Studio Availability   ",,,
233,CARRIAGE HOUSE STUDIOS,"119 Westhill Rd.   Stamford, CT 06902",['203-358-0065'],johnny@carriagehousemusic.com,carriagehousemusic.com,please call for info ,digital and analog,John Montagnese,,,,
234,FIREHOUSE 12,"45 Crown St.  New Haven, CT 06510",['203-785-0468'],info@firehouse12.com,firehouse12.com,call for information ,see website for studio equipment,,,,,
235,FRESH TRACKS STUDIO,"65 Deer Hill Ave  Danbury, CT",['971-344-1115'],jon@freshtracksstudio.com,"katiespain.com,facebook.com/freshtracksstudio ",call for rates ,HD,Jon Lindahl,,,,
236,POWER STATION NEW ENGLAND,"215 Parkway North  Waterford, CT 06385",['860-326-3878'],powerstation@sonalysts.com,powerstationne.com ,,,,,,,
237,SAGESOUND STUDIOS,"549 Howe Ave.  Unit 404  Shelton, CT 06484",['203-922-0491'],info@sagesoundstudios.com,sagesoundstudios.com,call for rates ,,,,,,
238,STUDIO UNICORN,"36 Sanford Town Rd.  Redding, CT 06896-2411",['203-938-0069'],paul@studiounicorn.net,studiounicorn.net,$150 / Hr. ,Pro Tools Ultimate,"Paul Avgerinos, Multi-Grammy winningProducer & Engineer ",,,,
239,TARQUIN STUDIOS,"Bridgeport, CT",,studio@tarquinrecords.com,tarquinrecords.com/studio ,,,Sandy Roberton,,,,
240,TROD NOSSEL,"10 George St.  Wallingford, CT 06492",['203-269-4465'],,trodnossel.com,call for information  ,Pro Tools HD2/HD3,,,,,
241,JAMLAND STUDIO,"2326 Empire Dr.  Wilmington, DE 19810",['302-475-0204'],music@jamlandstudio.com,jamlandstudio.com,call for information ,see website for equipment,,,,,
242,KEN-DEL STUDIOS,"1500 First State Blvd.  Wilmington, DE 19804-3596",['301-999-1111'],info@ken-del.com,ken-del.com ,,,,,,,
243,OCCUPY STUDIO,"170 East Main Street  Newark, DE 19711",['302-223-4441'],Record@OccupyStudio.com,occupystudio.com  ,,,,,,,
244,CLEANCUTS MUSIC,"4100 Wisconsin Ave. N.W., 1st Fl.  Washington, D.C. 20008",['202-237-8884'],,cleancuts.com,please call for info,digital,,,,"2901 Chestnut Ave. Baltimore, MD 21211 410-467-4231  ",
245,LION AND FOX RECORDING STUDIOS,"9517 Baltimore Ave  College Park, MD 20740",['301-982-4431'],mail@lionfox.com,lionfox.com,$75/hour ,"32 track I/O, 96k, 24bit",Jim Fox,,,,
246,LISTEN VISION RECORDING STUDIOS,"2622 Georgia Ave. N.W.  Washington, D.C. 20001",['202-332-8494'],,listenvision.com,call for rates  ,"Pro Tools, digital, 124 tracks",Jeremy Beaver,,,,
247,AUDIO-VISION,"13885 W. Dixie Hwy.  North Miami, FL 33161",['305-893-9191'],,audiovisionstudios.com,Please Call in ,Digital and Analog,,,,,
248,BAY EIGHT RECORDING STUDIOS,"N.M.B Commerce Center  15421 W Dixie Hwy #8 North Miami Beach, FL 33162",['305-705-2405'],hello@bayeight.com,bayeight.com ,,,,,,,
249,BRICKKS HOUSE OF BEATZ,"1331 West Cass St.  Tampa, FL 33605",['813-808-1492'],booking@dirttybeatz.com,dirttybeatz.com,call for rates ,,Corey Jackson,,,,
250,CLEAR TRACK STUDIOS,"814 Franklin St.   Clearwater, FL 33756","['727-449-8888', '866-963-3108']",info@cleartrackstudios.com,cleartrackstudios.com,call for info ,see website for equipment list,Marina,,,,
251,CRESCENT MOON,"Miami, FL 33155",['305-663-8924'],josem@crescentmoon.com,crescentmoon.com,Call for rates ,"Audio/Video Suites, ISDN, Digital/Analog",,,,,
252,CRITERIA RECORDING STUDIOS,"1755 N.E. 149 St.  Miami, FL 33181",['305-947-5611'],TFletcher@criteriastudios.com,facebook.com/CriteriaStudios,Rates tailored on a per project basis.  ,"16 and 24 tk analog, 48k digital, DAWs",Trevor Fletcher,,,,Six full-service world-class studios fromvintage Neve 8078 to SSL9096J to SSL Duality. Founded in 1958 this landmark facility has produced hundreds of gold & platinum albums in every genre. 
253,DOGMANIC PRODUCTIONS & RECORDING STUDIOS,"1731-B SW 7th Ave.  Pompano Beach, FL  33060",['954-675-0870'],info@DogManicRS.com,dogmanicrs.com ,,,,,,,
254,EMERALD CITY PRODUCTIONS,"Walt Disney Worlds Backyard  Winter Garden, FL  34787",['407-279-1956'],danny@emeraldcitypro.com,emeraldcitypro.com,call for rates ,Podcast production only,Danny Ozment,,,,
255,EVERMORE SOUND RECORDING STUDIOS,"1633 Acme St.  Orlando, FL 32805",['407-218-5953'],info@evermoresound.com,evermoresound.com,call or email for info ,see website for equipment list,Luke Beaulac,,,,
256,GASOLINE ALLEY RECORDING STUDIOS,2202 Lake Bradford Rd.  Tallahassee FL 32310,['850-575-4277'],info@gasolinealleystudios.com,gasolinealleystudios.com,call or email for info ,see website for equipment list,Jerry Gaskins,,,,
257,GRANDBAY RECORDING,"2811 North 34th Street  Tampa, Fl. 33614",['813-418-2346'],studiotime@grandbaystudios.com,grandbayrecordingstudios.com ,,,,,,,
258,HEIGA STUDIOS,"168 SE 1st St.  #500  Miami, FL 33131",['786-212-1591'],info@heigastudios.com,heigaaudiovisual.com ,,,,,,,
259,PHAT PLANET RECORDING STUDIOS,"3473 Parkway Center Ct.   Orlando, FL 32808",['407-295-7270'],info@phatplanetstudios.com,phatplanetstudios.com,"$110/hr. Studio A, $70/hr. Studio B ","Pro Tools HD, Analog 2-inch etc.",Ed Krout,,,,
260,LALA MANSION,"Tampa, FL","['813-658-5747', '631-905-7466']",info@lalamansion.com,lalamansion.com ,,,"Andrew Boullianne, Head Eng./Studio Mgr.",,,,
261,LILY PAD RECORDING,"226 King Street ,  Suite 150  Cocoa, FL 32922",['321-305-6085'],mark@lilypadrecording.com,lilypadrecording.com,$35/hr/$50 (2hr min)  ,,,,,,
262,LOG CABIN STUDIO,"Tallahassee, FL",['850-567-5554'],kris@logcabinmusic.com,,call or email for info ,facebook,Kris Kolp,,,,
263,MIAMI BEACH RECORDING STUDIOS,"14889 NE 20th Ave.  North Miami, FL  33181",['305-956-3939'],Pablo@mbrs.us,studio.mbrs.us ,,,,,,,
264,MYPLATINUM SOUND,"2727 Phyllis St.  Jacksonville, FL 32205",['904-612-1492'],,myplatinumsound.com,call or see website for info ,,Paul Lapinski,,,,
265,NOISEMATCH STUDIOS,"4306 NW 2nd Ave.  Miami, FL  33127",['786-334-5382'],info@noisematch.com,noisematchstudios.com,"$135/hr/$1500(12 hrs), 1/2 day/$780 ",,,,,,
266,RALEIGH MUSIC STUDIOS MIAMI,"1260 NW 29th Street  Miami, Florida 33142 (908) 463-8641",,Info@raleighmusicstudios.com,raleighmusicstudios.com,,,Eli ColazzoInnovative and Ultramodern Recording Studio 4 blocks west of Wynwood. 5 Fully Equipped Rooms - serving the Miami Creative Community  ,,,,
267,SONIC RECORDING,"Cape Coral  Fort Meyers, FL",['239-898-1339'],bo@sonicrecording.net,sonicrecording.net,$75/hr ,,Bo Davis,,,,
268,"STYLE-CITY MUSIC, INC","2101 Starkey Rd D15   Largo, FL 33771",['727-520-2336'],stylecitymusic@yahoo.com,stylecitymusic.com,"6 x 10 Video Wall Rental Plus TwoCameras $2,500 /Day  ","Style-City Music Presents is a 29-minutemusic video program showcasing music videos from all over the world from both signed and unsigned artists, also provide Video Wall Rental for live events ",Steven Q Berry,,,,
269,TWENTY-FIRST CENTURY STUDIOS,"1736-2 Landon Ave.   Jacksonville, FL 32207",['904-346-3452'],21centurystudios@gmail.com,"twentyfirstcenturystudios.com, facebook.com/21stCenturyStudios ",call for rates ,,,,,,
270,UNITY GAIN RECORDING STUDIO,"1953 Ricardo Ave.  Fort Myers, FL 33901",['239-332-4246'],info@unitygain.com,unitygain.com,call for rates ,"Direct to Disk, Digital & Analog Tape, & MIDI",Bart Iannucci,,,,
271,VELVET BASEMENT RECORDING STUDIO,"1958 N.E. 147th Terrace  Miami, FL 33181",['786-252-2924'],info@11thstreetstudios.com,11thstreetstudios.com ,call for info ,see website for equipment list,,,,"11th STREET STUDIOS 699 11th Street, NW Atlanta, GA 30318 404-249-8511 ",
272,5 STAR PRODUCTIONS,"582 Trabert Ave NW  Atlanta, GA  30309",['470-355-1407'],bookings@5starproductions.net,5starproductionstudio.com ,,,,,,,
273,THE BLUE ROOM RECORDING,"500 Bishop St., Ste. 7  Atlanta, GA 30318",['678-249-0729'],theblueroommusic@gmail.com,theblueroomrecording.com ,,,,,,,
274,BRAVO OCEAN STUDIOS,"1040 Boulevard SE Suite I & K  Atlanta, GA. 30312",['404-747-5257'],contact@bravooceanstudios.com,bravooceanstudios.com ,,,,,,,
275,GROOVE TUNES STUDIOS,"340 Rossiter Ridge  Alpharetta, GA 30022",['770-842-5511'],eatunison@bellsouth.net,groovetunes.com,$75/hr. ,Pro Tools HD/3 v. 8.0,Eric Tunison,,,,
276,LEDBELLY SOUND STUDIO,"243 Hwy 52 E.  Dawsonville, GA 30534",['678-977-6045'],ledbellysound@gmail.com,ledbellysound.com ,,,,,,,
277,LOUDHOUSE STUDIOS,"2115 Liddell Dr. NE  Atlanta, GA 30324",['404-963-7374'],info@loudhousestudios.com,loudhousestudios.com ,,,,,,,
278,MAW SOUND RECORDING STUDIOS,"P.O. Box 45   Hiawassee, GA 30546","['727-535-4560', '800-535-4560']",mawsound@juno.com,mawsound.com,call for info ,"digital and analog, Sonar recording",,,,,
279,PARHELION RECORDING STUDIOS,"684 Antone St. S.E., Ste. 110  Atlanta, GA 30318",['678-949-9119'],mail@parhelionrecordingstudios.com,parhelionrecordingstudios.com,$100/$75/hr ,see website for equipment list,,,,,
280,PATCHWERK,"1094 Hemphill Ave., N.  Atlanta, GA 30318-5431",['404-874-9880'],pwr@patchwerk.com,patchwerk.com,call for rates ,"SSL48-Channel Duality console, SSL J-9000",Curtis Daniel III,,,,
281,TREE SOUND STUDIOS,"4610 Peach Tree Industrial Blvd.  Norcross, GA 30071",['770-242-8944'],info@treesoundstudios.com,treesoundstudios.com,please call for info ,,,,,,
282,TWEED RECORDING,"140 East Washington St.  Athens, GA 30601",['706-204-9144'],info@tweedrecording.com,tweedrecording.com,please call for info  ,digital Pro Tools,Andrew Ratcliffe,,,,
283,ISLAND SOUND STUDIOS,"377 Keahole St., Ste. D-03  Honolulu, HI 96825",['808-200-1822'],aloha@islandsoundstudios.com,islandsoundstudios.com,,"2 SSL9000J, Digital/Analog  ",Kyle Spicer,,,,
284,AUDIO LAB RECORDING,"3638 Osage St.  Garden City, ID  83714",['208-344-9551'],"Steve@audiolab.org, Pat@audiolab.org",audiolab.org ,,,,,,,
285,"TONIC ROOM, THE","1509 Roberts St., Ste. 103   Boise, ID 83705",['208-338-8433'],info@tonicroomstudios.com,tonicroomstudios.com,"$55\hr(8-12hrs), $65/hr(1hr), $550 Daily rate  ",Pro Tools HD/Neve,Jason or Chris,,,,
286,CHICAGO RECORDING COMPANY,"232 E. Ohio St.   Chicago, IL 60611",['312-822-9333'],sarah@chicagorecording.com,chicagorecording.com,"Special lockout day rates, call for info",Monster Pro Tools HD systems + every formatsince 1975 ,"Sarah Hamilton, Music Studio Manager",,,"55 W. Wacker Chicago IL 60601 205 Michigan Ave. Studio 205A Chicago, IL  60601  ",
287,CLASSICK STUDIOS,"2950 W. Chicago Ave.  Chicago, IL 60622",['773-217-0513'],Book@classickstudios.com,classickstudios.com,$45/75 Hr (3hr min) ,,,,,,
288,DEAF DOG MUSIC,"2239 S. Michigan Ave.  Chicago, IL 60616",['312-927-4870'],jfo@deafdogmusic.com,deafdogmusic.com,call or email for info ,,,,,,
289,ELECTRICAL AUDIO,"2621 W. Belmont Ave.  Chicago, IL 60618",['773-539-2555'],info@electricalaudio.com,electricalaudio.com,$400/$600 per day ,,"Steve Albini, Owner and Recording Engineer",,,,
290,GRAVITY STUDIOS,"2250 W. North Ave.  Chicago, IL 60647",['773-862-1880'],info@gravitystudios.com,gravitystudios.com,please call ,Digital/Analog,,,,,
291,HANDWRITTEN RECORDING,"1346 W. Belmont  Chicago, IL 60657",['773-472-7132'],Rick@handwrittenrecording.com,handwrittenrecording.com,$395 day (10hr) / $45/hr ,digital and analog,,,,,
292,MYSTERY STREET RECORDING COMPANY,"2827 N. Lincoln Ave.  Chicago, IL 60657",['773-512-2630'],record@mysterystreetrecording.com,mysterystreetrecording.com,$50-$75/hr ,,,,,,
293,PRESSURE POINT RECORDING STUDIOS,"2239 S. Michigan Ave.  Chicago, IL 60616",['312-842-8099'],wolfdog@pprecs.com,pprecs.com,please call ,Digital/Analog,,,,,
294,RAXTRAX,"3126 N. Greenview  Chicago, IL 60657",['773-871-6566'],info@raxtrax.com,raxtrax.com,please call for info ,"2 SSL control rooms, digital/analog",,,,,
295,STONECUTTER RECORDING STUDIO,"1719 S. Clinton, Floor Zero  Chicago, IL 60616",['312-698-9977'],info@stonecutterstudios.com,stonecutterstudios.com ,,,,,,,
296,STUDIO 11,"345 N. Loomis St.  Chicago, IL 60607",['312-372-4460'],studio11chicago@gmail.com,studio11chicago.com,$65/hr ,,,,,,
297,STUDIO VMR,"5818 S. Archer Rd.  Summit, IL   60501","['708-267-2198', '312-286-5018']",don@studiovmr.com,studiovmr.com,Call for prices ,"Pro Tools HD3 Accel, also Hard DiskRecorders/72 Tracks ",,,,,
298,TONE ZONE RECORDING,"931 W. Wilson Ave.  Chicago, IL","['312-953-3346', '312-664-5353']",tonezonerecording@sbcglobal.net,tonezonerecording.net,,"SSL 4000G, Monitors: Genelec, Tannoy,Yamaha, AKG 240, Senneheiser  ",,,,,
299,TREE HOUSE RECORDS,"4808 W. Wrightwood Ave.  Chicago, IL 60639",['847-302-6105'],mg@treehouserecordschicago.com,treehouserecordschicago.com,$40.hr ,,Matt Geiser,,,,
300,UPTOWN RECORDING,"4656 N. Clifton Ave.  Chicago, IL 60640",['773-271-5119'],info@uptownrecording.com,uptownrecording.com,$75/hr  ,see website for equipment list,Matt Denny,,,,
301,AIRE BORN STUDIOS,"4700 Northwest Plaza W. Dr.  Zionsville, IN 46077",['317-876-1556'],,aireborn.com,call or email for info ,see website for equipment list,Mike Wilson,,,,
302,AZMYTH RECORDING,"5130 Brouses Ave.  Indianapolis, IN",['317-281-3670'],info@azmythrecording.com,azmythrecording.com,$70/hr (2hr min) ,Pro Tools HD2/HD3,,,,,
303,"LODGE STUDIOS, THE","3550 Roosevelt Ave.  Indianapolis, IN 46218",['317-568-0000'],info@thelodgestudios.com,thelodgestudios.com,please call for info ,,Michael Graham,,,,
304,SWEETWATER STUDIOS,"5501 US Highway 30 West  Fort Wayne, IN 46818",['800-386-6434'],studio@sweetwater.com,sweetwaterstudios.com,Contact for a custom quote.  ,,Julie Doust,"Experienced, professional engineers. DolbyATMOS certified mixing. Recording. Mastering. Music production. Session Musicians. Multimedia content. Large recording space. Equipment list on website. ",,,
305,"CATAMOUNT RECORDING, INC.","5737 Westminster Dr.  Cedar Falls, IA 50613  4048E/G+",['319-268-1011'],catamount@cfu.net,catamountrecording.com,,"Pro Tools HD3, Otari 2-inch analog, SSL ",,,,,
307,"TRIAD PRODUCTIONS, INC.","2120 Rittenhouse St., Suite C  Des Moines, IA 50309",['515-243-2125'],sales-studio@triadav.com,triadav.com,please call for info  ,,,,,,
308,GREENJEANS STUDIOS,"110 W. Harvey Ave., Ste. 2  Wellington, KS 67152",['620-326-5326'],carter@greenjeansstudios.com,greenjeansstudios.com,please call for info  ,ProTools HD3,,,,,
309,DOWNTOWN RECORDING,"515 S. 4th St.  Louisville, KY 40202",['502-583-9966'],nick@downtownrecording.com,downtownrecording.com,please call for info ,"Pro Tools HDX, 24 Track 2-inch analog",Nick Stevens,,,,
310,DSL STUDIOS,"10352 Bluegrass Pkwy.  Louisville, KY 40299",['502-499-2102'],info@dslstudios.com,dslstudios.com,please call for info ,digital Pro Tools,,,,,
311,THE LODGE,"231 6th Ave.  Dayton, KY 41074",['513-476-9115'],,thelodgeky.com ,,,,,,,
312,TNT PRODUCTIONS,"6303 Fern Valley Pass  Louisville, KY 40228",['502-964-9616'],barry@tntrecording.com,tntrecording.com,please call for info  ,digital Pro Tools HD,,,,,
313,DOCKSIDE STUDIO,"4755 Woodlawn Rd.   Maurice, LA 70555",['337-893-7880'],docksidestudio@gmail.com,facebook.com/Dockside-Studio,please call for info ,"Tracking, Mixing, Lodging",Steve and Cezanne (Wish) Nails,,,,
314,ESPLANADE STUDIOS,"2540 Esplanade Ave.  New Orleans, LA 70119",['504-655-0423'],esplanadestudios@gmail.com,esplanadestudios.com ,,,,,,,
315,MARIGNY RECORDING STUDIOS,"535 Marigny St.  New Orleans, LA 70117",['504-475-4535'],info@marignystudios.com,marignystudios.com,call or email for info ,see website for equipment list,Rick Nelson,,,,
316,STUDIO IN THE COUNTRY,"21443 Hwy. 436  P.O. Box 490 Bogalusa, LA 70429",['985-735-8224'],jay@studiointhecountry.com,studiointhecountry.com,$750/day including engineer  ,"Studer 2-inch 24-track, Pro Tools HD 32 i/o,Neve 8068 analog mixing board (32 ch.) ",Jay Wesley,,,,
317,BAKED BEANS RECORDING,"75 Weston Farm Rd.  Harrison, ME 04040","['207-615-1717', '207-583-4312']",beans@megalink.net,bakedbeansrecording.com,$45/hour ,Pro Tools Ultimate,Alan Bean,,,,
318,MAIN STREET MUSIC STUDIOS,"379 Main St.  Brewer, ME 04412",['207-992-6169'],info@mainstreetmusicstudios.com,mainstreetmusicstudios.com,call for rates ,,,,,,
319,MY THRILL STUDIO,"46 Blueberry Hill Rd.  Winterport, ME 04496",['207-223-5082'],mfrancis@mythrillstudio.com,mythrillstudio.com,please call for info ,,,,,,
320,"STUDIO, THE","45 Casco St.  Portland, ME 04101",['207-772-1222'],info@thestudioportland.com,thestudioportland.com,call for rates  ,Pro Tools,Tim Tierney,,,,
321,CLEANCUTS MUSIC,"2901 Chestnut Ave.  Baltimore, MD 21211",['410-467-4231'],tetiana@cleancuts.com ,cleancuts.com,please call for info,,,,,"4100 Wisconsin Ave., N.W. Washington, D.C. 20016 202-237-8884 ",
322,HIT AND RUN RECORDING,"18704 Muncaster Rd.  Rockville, MD 20855",['301-948-6715'],info@hitandrunrecording.com,hitandrunrecording.com,call for rates ,"Main DAW Cubase, 2nd DAWs DigitalPerformer, Pro Tools Le ",,,,,
323,NIGHTSKY STUDIOS,"3432 Rockefeller Ct.,   Waldorf, MD 20602","['301-910-6163', '301-374-9450']",aurora4dth@aol.com,facebook.com/nightskystudios,call for current rates ,Pro Tools HD,Ron,,,,
324,OMEGA STUDIOS,"12712 Rock Creek Mill Rd., Ste. 14 A  Rockville, MD 20852",['301-230-9100'],Shannon@omegastudios.com,omegastudios.com,Call for rates,Pro Tools HD and analog 24 track in all threetracking rooms. ,,Four State of the Art Rooms  ,,,
325,"BLINK MUSIC, INC.","129 Franklin St.  Cambridge, MA 02139",['617-225-0044'],info@blinkmusic.com,blinkmusic.com,call for info ,,,,,,
326,BRISTOL RECORDING AND VOICE STUDIOS,"238 Huntington Ave  Boston, MA 02115",['617-247-8689'],info@bristolstudios.com,bristolstudios.com,call for info ,,Jason,,,,
327,CYBER SOUND RECORDING STUDIOS,"349 Newbury St., Ste. 201  Boston, MA",['617-424-1062'],cyber.sound@verizon.net,cybersoundmusic.com,$125 per hour with Engineer ,"Pro Tools HD, Digital/Analog",,,,,
328,INFINITE RECORDING STUDIOS,"236 Ash Street.  Reading, MA  01867",['617-286-6821'],,infiniterecording.com,variable ,"Pro Tools, Logic, Reason, Ableton",,,,,
329,MIXED EMOTIONS MUSIC,"11 Pine Ave  Middleton, MA 01949",['978-774-7413'],mixedemt@aol.com,mixedemotionsmusic.com ,,,"Kenny Lewis, Engineer/Producer",,,,
330,MUSICMEZ STUDIO,Greater Boston Area,['617-529-1922'],mez@musicmez.com,musicmez.com,See website for rate ,"DAW, specializing in broadcast qualityproductions for songwriters, lyricists and artists ",Steven Mesropian (aka mez),,,,
331,NORTHFIRE RECORDING,"15a Grove St.  Amherst, MA 01002",['413-256-0404'],northfirerecordingstudio@gmail.com,northfirerecording.com,"$60/70/hr, $550/10hr. ",see website for equipment list,,,,,
332,PILOT RECORDING,"1073 Main St.  Housatonic, MA 01236",['413-274-1073'],info@pilotrecording.com,pilotrecording.com,call or email for info ,see website for equipment list,Will Schillinger,,,,
333,Q DIVISION STUDIOS,"North Cambridge, MA",['617-623-3500'],,qdivisionstudios.com,Call for rate ,,,,,,
334,THE RECORD COMPANY,"960 Massachusetts Ave.  Boston, MA 02118",['617-765-0155'],booking@therecordco.org,"therecordco.org,facebook.com/therecordco  ",,,,,,,
335,SUREFIRE CREATIVE STUDIOS,"Lowell, MA 01852",['978-441-0975'],SurefireCreativeStudios@gmail.com,surefirecreativestudios.com,call for rates  ,,,,,,"Surefire Creative Studios is an awardwinning audio and visual production company based outside of Boston, Massachusetts. Surefire provides its family of clients with a number of services such as music composition, video production, soundstage rental, recording studio rental, audio engineering, and brand consultation. "
336,MASTERPIECE SOUND AND STUDIOS,"1611 Webb St.  Detroit, MI 48206",['313-867-7874'],masterpiecesoundstudios@gmail.com,masterpiecesoundstudios.com ,,,,,,,
337,METRO 37 RECORDING STUDIO,"1948 Star Batt Dr.  Rochester, MI 48309",['586-549-2879'],metro37studio@gmail.com,metro37.com,please call for info ,see website for equipment list,Kevin Sharpe,,,,
338,ROYALHOUSE RECORDING,"Detroit, MI",,RoyalHouseBooking@gmail.com,royalhouserecording.com,see web for info ,see website for equipment list,Roger Goodman,,,,
339,RUSTBELT STUDIOS,"118 E. 7th Street  Royal Oak, MI 48067",['248-541-7296'],info@rustbeltstudios.com,rustbeltstudios.com ,,,,,,,
340,THE SOUNDSCAPE RECORDING STUDIO,"3323 Rochester Rd.  Royal Oak, MI 48073",['248-439-0499'],,soundscapestudio.com,$65/hr ,see website for equipment list,,,,,
341,WATERFALL STUDIOS,"11389 S. Forrest Sideroad   Dafter, MI 49724",['313-570-6780'],waterfall@waterfallrecordings.com,waterfallrecordings.com,please call for info  ,digital,Kenneth Sutton,,,,
342,A440 STUDIOS,"Minneapolis, MN",['855-851-2440'],a440steve@gmail.com,,,"Full Audio Recording with ProTools, API Neve.Full Equipment list on website. Promotional Videos (EPK) and concept for bands with up to 8 cameras and a switcher. Live Webcasts for YouTube, Facebook, Vimeo, etc.  4,000 sq. Ft. REHEARSAL SPACE for Touring Bands!   ",Steve Kahn Studio Manager,,,,
343,BABBLE-ON RECORDING STUDIOS,"5120 27th Ave. S.  Minneapolis, MN 55417",['612-375-0533'],andre@babble-on-recording.com,babble-on-recording.com,$100/200 hr. ,"digital and analog, Pro Tools HD2",Andre Bergeron,,,,
344,CUSTOM RECORDING STUDIOS,"4800 Drake Rd.  Minneapolis, MN 55422",['763-521-2950'],jpreynolds1946@yahoo.com,customrecordingstudios.com,"$50/hr, call for additional rates ",24 track Hi-8 Digital Tape.,Jim Reynolds,,,,
345,THE HIDEAWAY,"77 13th Ave., N.E.   Minneapolis, MN 55413",,joe@thehideawaympls.com,thehideawaympls.com,email for rates ,see website for equipment list,,,,,
346,PACHYDERM STUDIOS,"Cannon Falls, MN 55009",['507-263-4438'],info@pachyderm-studios.com,pachyderm-studios.com ,,,,,,,
347,SKYLAND STUDIOS,"7452 236 th  Street E  Lakeville, MN",,,skylandstudiocom ,,,,,,,
348,TAYLOR SOUND AND VIDEO,"Saint Louis Park  8000 Powell Rd., #100 Saint Louis Park, MN 55343",['612-208-2864'],info@taylor-sound.com,taylor-sound.com ,,,,,,,
349,THE TERRARIUM,"607 Central Ave., S.E.  Minneapolis, MN 55414",['612-338-5702'],jasonorris@mac.com,the-terrarium.com,call for rates  ,Pro Tools HD3,Jason Orris,,,,
350,MALACO STUDIOS,"3023 W. Northside Drive  Jackson, MS 39213","['601-982-4522', '800-272-7936']",malaco@malaco.com,malaco.com/studios,,"Studer Analog, Protools HD, Nuendo, SourceConnect Voice Over   ",,,,,
351,ENDEAVOR STUDIO,"211 South College St  Arcadia, MO",['573-944-4440'],greggill45@gmail.com,"facebook.com/endeavorstudioAV,endeavorav.com  ",,,,,,,
352,GFM RECORDING STUDIO,"1118 W. Main Street  Blue Springs, MO",['816-598-8810'],staff@gfmmodernrecording.com ,gfmmodernrecording.com/gfmmodern ,,,,,,,
353,MANSION SOUND RECORDING STUDIO,"189 Expressway Lane  Branson, MO 65616",['417-337-7851'],info@MansionSound.com,mansionsound.com ,,,,,,,
354,PHAT BUDDHA PRODUCTIONS,"1901 Locust St.   St. Louis, MO 63103",['314-231-3930'],booking@phatbuddhaproductions.com,phatbuddhaproductions.com,please call for info  ,digital Pro Tools HD2,,,,,
355,"JERECO STUDIOS, INC.","627 E. Peach St., Ste. E  Bozeman, MT 59715 406-586-526",,jeremiah@jerecostudios.com,jerecostudios.com,call for rates  ,digital,Jeremiah,,,,
356,ANOTHER RECORDING COMPANY,"6720 Dodge St.  Omaha, NE",['402-613-1369'],info@anotherrecordingcompany.com,anotherrecordingcompany.com ,,,,,,,
357,JOEAUDIO PRODUCTIONS,"10850 John Galt Blvd.  Omaha, NE 68137",,,,,,,,,,
358,866-JOE-AUDIO / 402-341-9153,,,,joeaudioproductions.com,,Digital,Joe Wolf,"ProTools, ISDN, SourceConnect ",,,
359,MAKE BELIEVE STUDIOS,"825 S. 20th St.  Omaha, NE 68108",['402-972-6387'],your_friends@makebelievestudio.com ,makebelievestudio.com ,,,,,,,
360,RAINBOW RECORDING STUDIO,"2322 S. 64th Ave.  Omaha, NE 68106",['402-554-0123'],audioguru@rainbowmusicmaha.com,rainbowmusicomaha.com,please call for info ,,,,,,
361,STUDIO 24,"8601 N. 30th St.  Omaha, NE 68112",['402-342-9090'],rcb@studio24omaha.com,studio24omaha.com,$60/HR  ,digital,Chuck Beckler,,,,
362,D. I. STUDIO LLC,"2810 S. Maryland Pkwy. Ste C  Las Vegas, Nevada. 89109",['702-792-3302'],digitalinsightrecording@gmail.com,direcordingstudios.com,Private Studio/Call for Rates ,ProTools HDX,Tiger Stylz,,,,
363,THE HIDEOUT RECORDING STUDIO,"14 Sunset Way  Henderson, NV 89014","['702-445-7705', '702-318-6001']",,hideoutlv.com,"Hourly and Block, call for quotes ",Analog and Digital,,,,,
364,IMIRAGE SOUND LAB,"15558 Linda Way  Sparks, NV 89431",['775-358-7484'],tom@Inspired-amateur.com,inspired-amateur.com ,,,,,,,
365,JAGUAR RECORDING STUDIO,"Las Vegas, NV",['702-808-4400'],thad@jaguarstudio.com,thaddeuscorea.com,Call for rates. ,Logic Pro,Thaddeus Corea,,,,
366,STUDIO DMI,"6839 Ponderosa Way Suite 100   Las Vegas, NV 89118",['702-860-6180'],Service@studiodmi.com,studiodmi.com ,,,music@studiodmi.com,,,,
367,"TONE FACTORY, THE","5329 S. Cameron  Las Vegas, NV 89120",['702-301-6964'],info@thetonefactory.com,"thetonefactory.com, vinniecastaldo.com",,,Vinnie Castaldo ,,,,
