,Name,Address/Phone,Phone,Web,Email,Fax,Mail,Contact,Specialty,Additional locations,Practice Areas
221,"SERLING, ROOKS, HUNTER, MCKOY, WOROB & AVERILL LLP  "," 119 5th Ave., 3rd Fl.  New York, NY 10003  212-245-7300  ",,serlingrooks.com ,,,,Joseph Lloyd Serling ,"Entertainment Law, Music Law",,
222,HERBSMAN HAFER WEBER & FRISCH LLP," 494 8th Ave., 6th Fl.  New York, NY 10001  212-245-4580 Fax 212-956-6471  ",,musiclaw.com ,info@musiclaw.com ,,,Jonas Herbsman ,"Entertainment Law, Copyrights, Contracts",,
223,SLOSS ECKHOUSE BRENNAN LAW CO.," 26 Broadway  14th Floor  New York, NY 10004  212-627-9898  ",,slosslaw.com ,office@slosslaw.com ,,,Johns Sloss ,Entertainment Law,,
224,"STAIRS, DILLENBECK, FINLEY"," 200 Park Ave. S., Ste. 511  New York, NY 10003  212-697-2700 Fax 212-687-3523  ",,sdfm.nyc ,stairs@stairsdillenbeck.com ,,,,Entertainment Law,,
225,VOLUNTEER LAWYERS FOR THE ARTS," 729 7th Avenue Suite 1401  New York, NY 10019  212-319-2787 Ext. 1  ",,vlany.org ,registrations@vlany.org ,,,Elena M. Paul ,Pro Bono legal services for artists,,
226,GERBER LAW FIRM," 102 West Third Street,  Suite 480  Winston-Salem, NC 27101  336-773-1324  ",,gerberlawfirm.net ,agerber@gerberlawfirm.net ,,,Andrew Gerber ,"Entertainment Law, Contracts, Copyright and trademark law, Business Planning ",,
227,"NEUSTEL LAW OFFICES, LTD"," 2534 S. University Dr., Ste. 4  Fargo, ND 58103  701-281-8822, 800-280-1711  ",,neustel.com ,info@neustel.com ,,,,Intellectual Property,,
228,VOGEL LAW FIRM," 218 North Pacific Ave.  P.O. Box 1389  Fargo, ND 58107-1389  866-771-9930  ",,vogellaw.com ,,,,,Intellectual Property ," 200 N. 3rd St., Ste. 201  Bismarck, ND 58502-2097  701-214-4393 ",
229,BENESCH ATTORNEYS AT LAW," 127 Public Sq., Ste. 4900  Cleveland, OH 44114  216-363-4151  ",,beneschlaw.com ,mavsec@beneschlaw.com ,,,Mark E. Avsec ,Intellectual Property,,
230,BRICKER & ECKLER," 100 S. 3rd St.  Columbus, OH 43215  614-227-2300 Fax 614-227-2390  ",,bricker.com ,Jknight@bricker.com ,,,Jeff Knith ,Intellectual Property ," 1350 Euclid Avenu  Suite 650  Cleveland, OH 44115  216-523-5405 Fax 216-523-7071 ",
231,ABINGTON INTELLECTUAL PROPERTY LAW &," CONSUMER CLASS ACTIONS  320 S. Boston Ave., Ste. 1130  Tulsa, OK 74103  918-588-3400 800-969-6570  ",,abingtonlaw.com ,info@abingtonlaw.com ,,,,Copyrights,,
232,PERKINS COIE," 1120 N.W. Couch St., 10th Fl.  Portland, OR 97209-4128  503-727-2000, 503-727-2116  ",,perkinscoie.com ,BBeel@perkinscoie.com ,,,"Bryan D. Beel, Ph.D. Counsel ","Trademark Law, Intellectual Property",,
233,"PETER VAUGHAN SHAVER, ESQ. SOUND ADVICE, LLC"," Creative Legal Services  3939 N.E. Hancock St., Ste. 308  Portland, OR 97212  503-473-8252  ",,pdxsa.com ,pv@pdxsa.com ,,,Peter Vaughan Shaver ,"Art & Entertainment Law, contracts, publishing, recording deals ",,
234,"SEAN CLANCY LAW, LLC"," 621 SW Morrison Street  Suite 900  Portland, OR  97205  971-251-0152  ",,seanclancylaw.com ,,,"1819 S.W. 5th Ave., #125 Portland, OR 97201 ",Sean Clancy ,Intellectual Property Law ,,
235,"BALLARD SPAHR, LLP"," 1735 Market St., 51st Fl.  Philadelphia, PA 19103-7599  215-665-8500, 215-864-8109  ",,ballardspahr.com ,rzoncal@ballardspahr.com ,,,"Lynn E. Rzonca, Chair ",Intellectual Property,,
236,"BERNARD MAX RESNICK, ESQ. PC"," 2 Bala Plaza, Ste. 300  Bala Cynwyd, PA 19004  610-660-7774 Fax 610-668-0574  ",,bernardresnick.com ,bmresnick@gmail.com ,,,Bernard Resnick ,Entertainment Law/Music Publishing,,
237,"CAESAR, RIVISE, BERNSTEIN, COHEN &  POKOTILOW, LTD  ","1635 Market St., 12th Fl.  Philadelphia, PA 19103-2212  215-567-2010 Fax 215-751-1142  ",,crbcp.com ,gatekeeper@crbcp.com ,,,,"Intellectual Property, Computer and Information Technology Law  "," 6081 Hamilton Blvd, Suite 600  Allentown, Pennsylvania, 18106  610-255-7551 ",
238,COZZA LAW GROUP PLLC," 400 Holiday Drive, Suite 210 Pittsburgh, PA 15220  ",412-701-6184 ,cozzalaw.com ,rcozza@cozzalaw.com ,,,"Rocco E. Cozza, Esq. ","Entertainment Law, IP Law, Business & Contract Law ",,
239,"DOVAS LAW, PC"," 307 Bainbridge St.  Philadelphia, PA 19147  267-940-7725 Fax 267-295-6078  ",,dovaslaw.com ,info@dovaslaw.com ,,,,Intellectual Property,,
240,"ASH KERNEN, ESQ"," Kernen Law  1627 N. 2nd St. Ste. 123  Philadelphia, PA 19122  215-399-0404  ",,KernenLaw.com ,info@kernenlaw.com ,,,,"Music Law, Entertainment Law, Trademarks, Copyrights  *No unsolicited material accepted ",,
241,"STEPHEN E. VANYO, ESQ."," Associate, Law Offices of Lloyd Z. Remick  One Liberty Place, 1650 Market Street, 56th Floor  Philadelphia, PA 19103  (215) 575-3820 ",,,"stephen.zanemgmt@gmail.com, vanyo@braverlaw.com ",,,,,,
242,ADLER POLLOCK & SHEEHAN PC," One Citizens Plaza, 8th Fl.  Providence, RI 02903-1345  401-274-7200 Fax 401-751-0604  ",,apslaw.com ,pcampellone@apslaw.com ,,,Paul A. Campellone ,Intellectual Property ," 49 Bellevue Avenue  Newport, RI 02840  401-847-1919 ",
243,BURR & FORMAN LLP," 100 Calhoun St., Ste. 400  Charleston, SC 29401  843-723-7831 Fax 843-722-3227  ",,burr.com ,,,,,Intellectual Property ," The Plaza at Belfair  4 Clarks Summit Dr., Ste. 200  Bluffton, SC 29910  843-815-2171  1221 Main Street, Suite 1800  Columbia, SC 29201  803-799-9800  Poinsett Plaza  104 South Main Street, Suite 700  Greenville, SC 29601  864-271-4940  Shelter Cove Executive Park  23-B Shelter Cove Lane, Suite 400  Hilton Head Island, SC 29928  843-785-2171  Founders Centre  2411 Oak Street, Suite 206  Myrtle Beach, SC 29577  843-444-1107 ",
244,"DORITY & MANNING, PA"," Two Liberty Sq.  75 Beattie Pl., Ste. 1100  Greenville, SC 29601  864-271-1592, 800-815-6705  ",,dority-manning.com ,jmb@dority-manning.com ,,,James M. Bagarazzi ,Intellectual Property Law,,
245,MOORE & VAN ALLEN," 78 Wentworth St.  Charleston, SC 29401-3535  843-579-7000  ",,mvalaw.com ,,,,,Intellectual Property,,
246,Additional location::," 100 N. Tryon St., Ste. 4700  Charlotte, NC 28202-4003  704-331-1000 ",,,,,,,,,
247,"DAVENPORT, EVANS, HURWITZ & SMITH, LLP"," 206 W. 14th St.  P.O. Box 1030  Sioux Falls, SD 5701  605-336-2880  ",,dehs.com,info@dehs.com ,,,,,,
248,"WOODS, FULLER, SHULTZ & SMITH, P.C."," 300 S. Phillips Ave., Ste. 300  Sioux Falls, SD 57104  605-336-3890  ",,woodsfuller.com ,Jim.Wiederrich@WoodsFuller.com ,,,James M. Wiederrich ,," 2301 Research Park, Ste. 225  Brookings, SD 67006  605-336-3890  815 N.Main Avenue,  Suite 2  Sioux Center, IA 51250  712-722-5300  1201 S. 2nd Ave, Ste. 1  Sheldon, IA 51201  712-631-4056 ",
249,"ADAMS AND REESE, LLP"," 1600 West End Avenue  Suite 1400  Nashville, TN 37203  615-259-1450, 615-259-1452  ",,adamsandreese.com ,phil.kirkpatrick@arlaw.com ,,,Philip M. Kirkpatrick,"Entertainment Law, Music Law, Intellectual Property  "," Crescent Center  6075 Poplar Ave., Ste. 700  Memphis, TN 38119  615-525-3234  ",
250,ESKRIDGE & ESKRIDGE LAW FIRM PC," 119 So. Main St., Ste. 500  Memphis, TN 38103  901-522-9600  ",,eskridgefirm.com ,info@eskridgefirm.com ,,,Janelle R. Eskridge ,"Entertainment Law, Trademark, Copyright",,
251,FARRAR & BATES," 12 Cadillac Drive  Suite 480  Brentwood, TN 37027  615-254-3060  ",,farrar-bates.com ,info@farrar-bates.com ,,,Russ Farrar ,"Entertainment Law, I.P./Copyright",,
252,GORDON LAW GROUP," 105 Westpark Dr.  Ste 350  Brentwood, TN. 37027  615-933-2435  ",,gordonlawgroup.com ,robin@gordonlawgroup.com ,,,Robin J. Gordon ,"Contracts, Copyrights, Litigation",,
253,KING & BALLOW," 315 Union St., Ste. 1100  Nashville, TN 37201  615-259-3456, 615-726-5422  ",,kingballow.com ,rbusch@kingballow.com ,,,Richard Busch ,"Entertainment Law, Trademarks, Copyrights",,
254,"LOEB & LOEB, LLP"," 35 Music Sq. E., Ste. 310  Nashville, TN 37203  615-749-8300, 615-749-8312  ",,loeb.com ,dcrownover@loeb.com ,,,Derek Crownover ,all areas,,
255,"MILOM, HORSNELL, CROW,"," ROSE, KELLEY  3310 W. End Ave., Ste. 610  Nashville, TN 37203  615-255-6161 Fax 615-254-4490  ",,milomlaw.com ,info@milomlaw.com ,,,David S. Crow ,Entertainment Law,,
256,RICHARD D. ROSE," Mailing address:  P.O. Box 40871  Nashville, TN 37204  615-330-7673  ",,copyrightcafe.com,hello@copyrightcafe.com ,,,Richard D. Rose,"Entertainment, Internet, Copyrights, Trademark, Clearance ",,
258,"SHACKELFORD, BOWEN,  MCKINLEY & NORTON, LLP  ","1 Music Circle South  Suite 300  Nashville, TN 37203  615-329-4440  ",,shackelford.law/groups/nashville ,,,,,"Entertainment Law, Contracts",,
259,SHRUM & ASSOCIATES," 1222 16th Ave., S, Ste. 23  Nashville, TN 37212  615-338-5130  ",,barryshrum.com ,info@shrumlaw.com ,,,Barry Neil Shrum ,"Entertainment Law, Intellectual Property, Trademarks, Copyrights ",,
260,"AL STAEHELY, JR.,  LAW OFFICES OF  ",713-528-6946  ,,music-lawyer.com ,al@music-lawyer.com ,,,"Al Staehely, Jr. ",Entertainment Law,,
261,"AMY E. MITCHELL,  ATTORNEY, MEDIATOR, COUNSELOR AT LAW  ","4408 Spicewood Springs Rd.  Austin, TX 78759  512-505-0845  ",,amyemitchell.com,law@amyemitchell.com ,,,Amy E. Mitchell,Entertainment Law,,
263,"CRAIG BARKER, P.C., LAW OFFICE OF"," 401 Congress Ave., Ste. 1540  Austin, TX 78701  512-494-0777  ",,craigbarkerlaw.com ,craig@craigbarkerlaw.com ,,,Craig Barker ,Entertainment Law,,
264,"DAVID W. SHOWALTER,  LAW OFFICES OF  ","1117 FM 359 Rd., Ste. 200  Richmond, TX 77406  888-627-4042, 281-762-6872  ",,showalterlaw.com ,info@showalterlaw.com ,,,David Showalter ,," 701 South Adams  Fredericksburg, TX. 78624 ",
265,"DECKER, JONES, MCMACKIN,  MCCLANE, HALL & BATES  ","Burnett Plaza  801 Cherry St., Ste. 2000, Unit 46  Fort Worth, TX 76102  817-336-2400 817-429-5260  ",,deckerjones.com,,,,,"Entertainment Law, Intellectual Property",,
267,"FRITZ, BYRNE, HEAD, & FITZPATRICK"," 221 W. 6th St., Ste. 960  Austin, TX 78701  ",,fritzbyrne.law ,info@fbhh.com ,,,,"Litigation, Contracts, Copyright, Intellectual Property  "," 800 N. Shoreline, Suite 2000S  Corpus Christi, TX 78401  361-883-1500 ",
268,"GRAVES, DOUGHERTY, HEARON, & MOODY, P.C."," 401 Congress, Ste. 2200  Austin, TX 78701  512-480-5600  ",,gdhm.com ,gdhm@gdhm.com ,,,,"Intellectual Property, Entertainment Law",,
269,"MICHAEL NORMAN SALEMAN, LAW OFFICES OF"," 100 Congress Ave., 11th Fl.  Austin, TX  512-263-5932 Fax 512-263-5929  ",,movielaw.net ,saleman@movielaw.net ,,,Michael Saleman ,Entertainment Law,,
270,MIKE TOLLESON & ASSOCIATES," 2106 E. Martin Luther King Jr. Blvd.  Austin, TX 78702  512-480-8822 Fax 512-479-6212  ",,miketolleson.com ,mike@miketolleson.com ,,,Mike Tolleson ,Entertainment Law,,
271,PERKINS COIE," 500 N. Akard St., Ste. 3300  Dallas, TX 75201  214-965-7700, 214-965-7799  ",,perkinscoie.com ,jlewis@perkinscoie.com ,,,Jill B. Ness ,Trademark Law,,
272,"ROBERT R. CARTER, JR."," P.O. Box 1441  Austin, TX 78767  512-304-5275  ",,robertrcarter.com/about ,RobertRCarterJr@gmail.com ,,,"Robert R. Carter, Jr. ",Entertainment Law,,
273,TEXAS ACCOUNTANTS & LAWYERS FOR THE ARTS," P.O. Box 144722  Austin, TX 78714  512-459-8252  ",,,info@talarts.org ,,,,Non-profit organization provides legal services for artists ,,
274,"UNDERWOOD, PERKINS, PC"," 5420 LBJ Fwy.  Two Lincoln Centre, Ste. 1900  Dallas, TX 75240  972-661-5114 Fax 972-661-5691  ",,underwoodperkins.com,info@underwoodperkins.com ,,,Evan Fogelman,Entertainment Law and Intellectual Property,,
276,PARR BROWN GEE & LOVELESS," 101 South 200 East, Suite 700  Salt Lake City, UT 84111  801-532-7840  ",,parrbrown.com ,manderson@parrbrown.com ,801-532-7750 ,,Michael S. Anderson ,"Full-Service Entertainment Law, including Music Law, Film & TV Law, Intellectual Property, Contracts,  Litigation ",,
277,"PARSONS, BEHLE & LATIMER"," 201 S. Main St., Ste. 1800  Salt Lake City, UT  84111  801-532-1234, Fax 801-536-6111  ",,parsonsbehle.com ,rjohnson@parsonsbehle.com ,,,Rexford A. Johnson ,Intellectual Property Litigation,,
278,"DORSEY & WHITNEY, LLP"," 111 South Main St., Ste. 2100  Salt Lake City, UT 84111  801-933-7360, 801-933-8958  ",,dorsey.com ,benevento.bryon@dorsey ,,,Bryon Benevento ,Intellectual Property,,
279,SNELL & WILMER," 15 W. S. Temple, Ste. 1200  Salt Lake City, UT 84101-1531  801-257-1900 Fax 801-257-1800  ",,swlaw.com ,info@swlaw.com ,,,,Intellectual Property,,
280,THORPE NORTH & WESTERN," 8180 S. 700 E., Ste. 350  Sandy, UT 84070  801-566-6633 Fax 801-566-0750  ",,tnw.com ,patlaw@tnw.com ,,,,Intellectual Property,,
281,"DOWNS RACHLIN MARTIN, PLLC"," 199 Main St. Suite #600  P.O. Box 190  Burlington, VT 05402-0190  802-863-2375 Fax 802-862-7512  ",,drm.com ,info@drm.com ,,,,Intellectual Property ," 132 Main Street  Suite 212  Brattleboro, VT 05301  802-258-3070 ",
282,"PRIMMER PIPER EGGLESTON & CRAMER, PC"," 30 Main St., Ste. 500  P.O. Box 1489  Burlington, VT 05402-1489  802-864-0880  ",,primmer.com ,jgrant@primmer.com ,,,"Jeremy S. Grant, Associate ",Intellectual Property and Technology,,
283,"VENABLE, LLP"," 1850 Towers Cres Plaza  Tysons Corner, VA 22182  703-760-1600 Fax 703-821-8949  ",,venable.com ,,,,,Intellectual Property,,
284,"DORSEY & WHITNEY, LLP"," Columbia Center  701 5th Ave., Ste. 6100  Seattle, WA 98101-4010  206-903-8800, 206-903-8791  ",,dorsey.com ,alexander.nathan@dorsey.com ,,,Nathan Alexander ,Intellectual Property,,
285,FOSTER GARVEY," 1111 Third Avenue, Suite 3000  Seattle, WA 98101  206-447-4400, 206-447-6282  ",,foster.com ,ben.hodges@foster.com ,,,Benjamin Hodges ,Intellectual Property,,
286,PERKINS COIE," The PSE Building  10885 N.E. 4th St., Ste. 700  Bellevue, WA 98004  425-635-1400 425-635-1402  ",,perkinscoie.com ,MQuehrn@perkinscoie.com ,,,Markam (Mark) A. Quehrn ,"Trademark Law, Intellectual Property",,
287,"BOWLES RICE, ATTORNEYS AT LAW"," University Town Centre  125 Granville Square, Suite 400  Morgantown, WV 26501  304-285-2500 Fax 304-285-2530  ",,bowlesrice.com ,,,,,Intellectual Property ," 101 S. Queen St.  Martinsburg, WV 25401  304-264-4200  600 Quarrier St.  Charleston, WV 25301  304-347-1100  United Square, Fifth Floor  501 Avery Street  Parkersburg, WV. 26101  304-485-8500 ",
288,FROST BROWN TODD," 500 Virginia St. East, Suite 1100  Charleston, WV 25301  304-345-0111 Fax 304-345-0115  ",,frostbrowntodd.com ,,,,,"Trademark Law, Intellectual Property",,
289,"BOARDMAN & CLARK, LLP"," 1 S. Pinckney St., Ste. 410  Madison, WI 53703  608-257-9521  ",,boardmanclark.com ,,,,,"Patents, Copyrights, Trademarks and Trade Secret Law  "," 1038 Lincoln Ave.  P.O. Box 87  Fennimore, WI 53809-0087  608-822-3251  27 W. Main St.  Belleville, WI 53508-9428  608-424-3404  141 3rd Ave. Ste. 1  P.O. Box 443  Baraboo, WI 53913-0443  608-356-3977  156 South Main St.  P.O. Box 256  Lodi, WI 53555-0258  608-592-3877  213 N. Main St., Ste. 200  P.O. Box 128  Poynette, WI 53955-0128  608-635-4324 ",
290,PERKINS COIE," 33 E. Main St., Ste. 201  Madison, WI 53703-5118  608-663-7460  ",,perkinscoie.com ,danstaett@perkinscoie.com ,,,"David L. Anstaett, Partner ","Trademark, Intellectual Property",,
291,"ROBERT P. SCHUSTER, P.C."," Attorney at Law  250 Veronica Lane, Suite 204  P.O.Box 13160  Jackson, WY 83002  307-732-7800  ",,bobschuster.com/practice-areas/intellectual- property-attorney ,info@bobschuster.com ,,,,,,
