,Name,Address/Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location
280,SUNRISE SOUND,"3330 Walnut Bend  Houston,TX 77042 713-977-9165 ",info@sunrisesound.com,sunrisesound.com,"$139/2hr session, $259/4hr session,$479/8hr session  ",,,,,
281,TIERRA STUDIOS,"7502 Shadyvilla Ln.  Houston, TX 77055 832-730-0040 ",info@tierrastudios.com,tierrastudios.com ,,,,,,
282,TRINITY RECORDING STUDIO,"3406 Brawner Parkway  Corpus Christi, TX 78411  ",,,,,,,,
283,WIRE ROAD STUDIOS,901 W. 20th St.  Houston TX 77008 713-636-9772 ,contact@wireroadstudios.com,wireroadstudios.com,Studio A $130/Hour; Studio B $100/Hour;Studio D $75/Hour   ,Digital / Pro Tools,Bill Wade,,,
284,"445 N. 700 W,    Suite `0`","North Salt Lake, UT 84054  385-424-0778 ",funkstudiosutah@gmail.com,funkstudiosutah.com ,,,,,,
285,2544 W. 500 S.,"Provo, UT 84601  801-805-8217 ",dave@noiseboxstudios.com,noiseboxstudios.com,$85/hr ,,Dave Zimmerman,,,
286,GUILFORD SOUND,"561 Fitch Rd.  Guilford, VT 05301 802-254-4511 ",info@guilfordsound.com,guilfordsound.com,Please call Cindy. ,Pro Tools + Analog,Cynthia Larsen,,,
287,OLD MILL ROAD RECORDING,"316 Old Mill Road  East Arlington,VT 05252 802-430-7398 ",info@oldmillroadrecording.com,oldmillroadrecording.com ,,,,,,
288,VERMONT RECORDING STUDIOS,"1057 Quarry Road  Chester, VT 05153 802-631-0707 ",Studio@VermontRecordingStudios.com,VermontRecordingStudios.com,Please call for more information  ,"Studio One, Pro Tools, Solid State LogicSuperAnalogue Mixing Console & DAW Controllers. ",John Sawyer,,,
289,DA SPOT RECORDING STUDIO,"213 W Brookland Park Blvd.  Richmond, VA 23223 804-649-2888 ",,daspotrecordingstudio.com ,,,,,,
290,MASTER SOUND,"Virginia Beach, VA 23452  757-373-1180 ",rob@mastersoundva.com,mastersoundva.com,call for rates  ,digital and vintage analog,Rob Ulsh,,,
291,BEAR CREEK STUDIO AND MUSIC PRODUCTION,"6313 Maltby Rd.  Woodinville, WA 98072 425-481-4100 ",ryanhadlock@hotmail.com,bearcreekstudio.com,Please call for rates ,"2 24 trk, 2 16 trk, 1/2 2 trk, Pro Tools HD32 in/48 out ",Manny Hadlock,,,
292,ELECTROKITTY,"4415 Densmore Ave., N.  Seattle, WA 98103 425-358-1441 ",electrokittyrecording@gmail.com,electrokitty.com,call for more info ,Digital and Analog,Garrett,,,
293,MIRROR SOUND STUDIO,"301 N.E. 191st St.  Seattle, WA 98155 206-440-5889 ",info@mirrorsound.com,mirrorsound.com,Please call for rates ,24 track digital-analog,Ken Fordyce,,,
294,JAMIE PECK PRODUCTIONS,"216 Longvue Acres Rd.   Wheeling, WV 26003 304-277-2771 ",,jamiepeckproductions.com,please call for info ,digital Pro Tools HD,Jamie Peck,,,
295,BLAST HOUSE STUDIOS,"1117 Jonathon Dr.  Madison, WI   53713 608-276-4446 ",mike@madisonmusicfoundry.com,blasthousestudios.com,call for rates  ,see website for equipment list,,,,
